id|Perfume|Brand|Country|Gender|Rating Value|Rating Count|Year|Top|Middle|Base|Perfumer1|Perfumer2|mainaccord1|mainaccord2|mainaccord3|mainaccord4|mainaccord5
36073|metal|Paco Rabanne|unknown|women|4,25|326|1979|Hiacynth, Green Notes, Aldehydes, Basil and Lemon|Lily-of-the-Valley, Iris, Jasmine, Cyclamen, Rose, Ylang-Ylang and Tuberose|Oakmoss, Vetiver, Musk, Amber and Sandalwood|Robert Gonnon|unknown|green|floral|fresh|white floral|earthy
69014|heart of blue|The Dua Brand|unknown|unisex|1,0|1|2023|unknown|unknown|unknown|unknown|unknown|vanilla|powdery|amber|sweet|warm spicy
40649|hypnotic vanilla bloom|Zara|unknown|unisex|4,63|35|2024|Pear Blossom|Vanilla Orchid|Cashmere Wood|unknown|unknown|floral|sweet|powdery|fruity|unknown
28600|lychee|Demeter Fragrance|unknown|unisex|3,78|60|0|unknown|unknown|unknown|unknown|unknown|fruity|tropical|fresh|aquatic|unknown
13217|amor-amor-tentation|cacharel|France|women|4,01|1085|2008|ivy, mandarin orange|jasmine, tiare flower|spices, vanille, virginia cedar|honorine blanc|unknown|white floral|vanilla|citrus|green|woody
12295|fly-high-man|mexx|Netherlands|men|3,98|114|2007|tangerine, black currant, basil|saffron, geranium|woodsy notes, heliotrope|unknown|unknown|fresh spicy|fruity|aromatic|citrus|woody
61344|khulood|Junaid Jamshed|unknown|women|4,5|2|2015|Fruits, Praline and Vanilla|Raspberry, Peony, Saffron and Thyme|Jasmine, Leather, Suede and Amberwood|unknown|unknown|sweet|fruity|vanilla|leather|unknown
56395|dkny women fall limited edition|Donna Karan|unknown|women|4,08|26|2018|Green Notes, Violet Leaf, Solar Notes, Bergamot and Freesia|Patchouli, Rose and Jasmine|White Amber, Sandalwood, Musk, Tonka Bean and Cashmeran|unknown|unknown|woody|patchouli|amber|warm spicy|powdery
42672|fendi for men|Fendi|unknown|men|4,12|43|2004|Angelica, Lime and White Pepper|Green Tea, Violet Root, Patchouli and Jasmine|Suede, Oakmoss and Amber|unknown|unknown|powdery|musky|amber|fresh spicy|citrus
66479|solar power|Phlur|unknown|unisex|3,67|155|2023|Blood Mandarin, Bergamot and Jasmine|Orange Blossom and Neroli|Solar Notes, Sea Salt, Musk and Driftwood|Greg Husar|unknown|citrus|white floral|aldehydic|unknown|unknown
49707|wind from mount kailash|Anna Zworykina Perfumes|unknown|unisex|4,41|29|2008|unknown|unknown|unknown|Anna Zworykina|unknown|aromatic|woody|fresh spicy|herbal|balsamic
1863|vintage-collection-tropicana|lorenzo-villoresi|Italy|unisex|3,57|143|2014|tropical fruit, pineapple, peach, osmanthus, magnolia|passionfruit, melon, coconut, milk, jasmine|ylang-ylang, tuberose, vanilla, chocolate, musk|lorenzo villoresi|unknown|fruity|tropical|sweet|fresh|lactonic
22908|kajal-iii|kajal|UAE|unisex|4,42|131|2023|lemon zest, grapefruit, lemon soda|ginger, neroli, lavender, rosemary|ambroxan, patchouli, musk, amber|kevin mathys|unknown|citrus|warm spicy|amber|aromatic|musky
80445|garofano l'erbolario|L Erbolario|unknown|women|4,02|41|0|unknown|unknown|unknown|unknown|unknown|floral|warm spicy|rose|vanilla|aromatic
25660|surreal paradise|Avon|unknown|women|3,82|45|2023|Red Apple, Pear and Sicilian Bergamot|Wild Berries, Angelica and Magnolia|Sandalwood, Patchouli and Musk|unknown|unknown|fruity|woody|powdery|sweet|musky
39579|elle|Yves Saint Laurent|unknown|women|4,06|5981|2007|Litchi, Peony and Amalfi Lemon|Pink Pepper, Rose, Jasmine and Freesia|Patchouli, Vetiver, Cedar and Ambrette (Musk Mallow)|Jacques Cavallier|Olivier Cresp|woody|floral|patchouli|fresh|rose
3203|bubble-bath|maison-martin-margiela|France|unisex|3,67|3337|2020|soap, bergamot|lavender, jasmine, rose|coconut, white musk, patchouli|unknown|unknown|soapy|coconut|musky|sweet|lavender
6205|berry-pop|avon|USA|women|3,8|54|2013|mandarin orange, black pepper, coriander|blackberry, freesia, iris|musk, amber|unknown|unknown|fruity|sweet|floral|violet|powdery
73046|sapphire blue|The House of Oud|unknown|unisex|3,58|92|2022|Almond, Spices, West Indian Bay and Mandarin Orange|Orchid, Jasmine and Tonka Bean|Vanilla, Musk and Jasmine|Cristian Calabro|unknown|vanilla|sweet|powdery|floral|musky
4645|oh-so-orange|juicy-couture|USA|women|3,74|94|2019|mandarin orange, kumquat, red berries|whipped cream, orange, floral notes|sandalwood, musk|unknown|unknown|citrus|sweet|fruity|vanilla|floral
35653|dr. botica poção da criatividade o boticário|O Boticario|unknown|unisex|4,0|2|2024|Tangerine, Solar Notes, Apple and Pear|Violet Leaf, Lily of the Valley, Floral Notes and Balsamic Notes|Amber, Musk and Sandalwood|unknown|unknown|citrus|fruity|ozonic|sweet|green
